Date,Category,Amount
2023-01-01,Food,110.0796002413641
2023-01-02,Food,154.23677219802187
2023-01-03,Clothing,116.26014423620046
2023-01-04,Food,114.70975173462774
2023-01-05,Clothing,150.0673884414049
2023-01-06,Food,181.5419124027912
2023-01-07,Entertainment,194.1659261036783
2023-01-08,Clothing,66.81938307975508
2023-01-09,Household,190.67902014817454
2023-01-10,Household,131.50419295190034
2023-01-11,Clothing,71.1256709353174
2023-01-12,Transport,21.118243969286837
2023-01-13,Entertainment,101.58353773154208
2023-01-14,Entertainment,104.51582973773937
2023-01-15,Household,148.75203670879034
2023-01-16,Transport,82.8135186416061
2023-01-17,Household,127.92346969352974
2023-01-18,Clothing,60.11052614768209
2023-01-19,Entertainment,111.56924631776154
2023-01-20,Food,57.87584167117626
2023-01-21,Clothing,39.62420770773012
2023-01-22,Clothing,108.93841164743557
2023-01-23,Household,191.83676492947592
2023-01-24,Food,45.979867628586526
2023-01-25,Clothing,54.38508874705508
2023-01-26,Entertainment,128.88974833668652
2023-01-27,Clothing,155.5000496446813
2023-01-28,Clothing,46.34149520770592
2023-01-29,Food,144.52742979162215
2023-01-30,Clothing,92.37655164228326
2023-01-31,Entertainment,161.0588851347083
2023-02-01,Clothing,199.52516979380198
2023-02-02,Food,48.15105170997119
2023-02-03,Clothing,112.53145756194078
2023-02-04,Food,93.62993228972867
2023-02-05,Food,194.88362836254265
2023-02-06,Food,196.5744924154013
2023-02-07,Clothing,84.36542604641897
2023-02-08,Transport,16.677452645260885
2023-02-09,Entertainment,85.76631313559358
2023-02-10,Clothing,15.444966663284134
2023-02-11,Transport,28.947866633393758
2023-02-12,Food,130.00824437363494
2023-02-13,Food,88.84604207065102
2023-02-14,Transport,109.8581657074436
2023-02-15,Transport,58.2910557829377
2023-02-16,Transport,122.58849212148456
2023-02-17,Entertainment,151.06877911457408
2023-02-18,Food,198.15045626512793
2023-02-19,Transport,60.702021418025716
2023-02-20,Household,193.43919617628015
2023-02-21,Transport,163.74096966026207
2023-02-22,Entertainment,136.30788778322432
2023-02-23,Clothing,135.09745768341065
2023-02-24,Entertainment,55.20794521505531
2023-02-25,Transport,118.58843003948694
2023-02-26,Entertainment,182.99731350066762
2023-02-27,Transport,13.287693353032779
2023-02-28,Entertainment,21.023408030913593
2023-03-01,Food,128.1585593993007
2023-03-02,Food,197.27645742592856
2023-03-03,Food,99.62475075338686
2023-03-04,Clothing,172.5907676746763
2023-03-05,Food,88.8195861848727
2023-03-06,Entertainment,172.13135124115033
2023-03-07,Entertainment,38.659704716511456
2023-03-08,Transport,82.51440878494084
2023-03-09,Food,47.246266459246286
2023-03-10,Household,39.55295777303526
2023-03-11,Clothing,158.35125062285346
2023-03-12,Entertainment,40.80395922376747
2023-03-13,Clothing,58.90725691699185
2023-03-14,Clothing,95.09838119518679
2023-03-15,Household,126.8724392899408
2023-03-16,Entertainment,158.52013844702958
2023-03-17,Food,50.446735079493735
2023-03-18,Transport,48.99264185798069
2023-03-19,Entertainment,63.40614679379819
2023-03-20,Food,87.68097061641859
2023-03-21,Transport,122.01630358701371
2023-03-22,Clothing,166.242696896631
2023-03-23,Entertainment,46.03895845624255
2023-03-24,Food,181.33168833580928
2023-03-25,Clothing,139.88450482463443
2023-03-26,Clothing,157.07230005951564
2023-03-27,Transport,177.9433068564526
2023-03-28,Entertainment,46.73390283708334
2023-03-29,Entertainment,168.81437743722572
2023-03-30,Food,113.00850951999313
2023-03-31,Entertainment,92.50994374302418
2023-04-01,Food,128.45746056404593
2023-04-02,Household,162.33155887631182
2023-04-03,Entertainment,148.55943546620009
2023-04-04,Transport,57.35292798215771
2023-04-05,Clothing,196.09188388719087
2023-04-06,Food,122.95370423269975
2023-04-07,Transport,26.66758855087331
2023-04-08,Clothing,80.54787853761985
2023-04-09,Food,100.61277089161341
2023-04-10,Food,179.89643082649792
2023-04-11,Food,141.65811845489293
2023-04-12,Food,156.17009712447805
2023-04-13,Transport,152.2513076504299
2023-04-14,Household,124.81364101538323
2023-04-15,Entertainment,55.050572731166284
2023-04-16,Clothing,85.80843525686151
2023-04-17,Transport,123.22979978551763
2023-04-18,Food,177.64532264808716
2023-04-19,Clothing,119.51304879055084
2023-04-20,Household,82.2334243904588
2023-04-21,Household,179.43303541691316
2023-04-22,Food,69.0666216244374
2023-04-23,Transport,114.10219292499164
2023-04-24,Entertainment,18.432682267298222
2023-04-25,Transport,116.72609182784417
2023-04-26,Transport,121.68362236815922
2023-04-27,Household,148.76203119807656
2023-04-28,Transport,168.85748791293452
2023-04-29,Entertainment,113.29775300051666
2023-04-30,Household,197.14961483103713
2023-05-01,Household,63.682431114853536
2023-05-02,Entertainment,23.664066609970046
2023-05-03,Food,38.07863034935349
2023-05-04,Food,140.6993983737789
2023-05-05,Transport,181.43064042100875
2023-05-06,Entertainment,110.20151713765257
2023-05-07,Entertainment,180.23056337947122
2023-05-08,Food,46.661100618931364
2023-05-09,Household,86.35953499899959
2023-05-10,Food,64.15906720915832
2023-05-11,Food,100.54421739154884
2023-05-12,Transport,59.72743700299345
2023-05-13,Clothing,38.07067842832896
2023-05-14,Food,163.95125362524104
2023-05-15,Clothing,159.86590539154682
2023-05-16,Clothing,48.70332769367791
2023-05-17,Household,123.88702328786691
2023-05-18,Household,91.44444727254618
2023-05-19,Transport,17.647602563894207
2023-05-20,Entertainment,144.68060888970902
2023-05-21,Clothing,161.29365353941276
2023-05-22,Household,72.58223080873138
2023-05-23,Food,174.29997907117178
2023-05-24,Clothing,79.24195087561071
2023-05-25,Food,148.19812528416176
2023-05-26,Food,100.5168001175093
